epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4445,0.87368,4.36216,1.29958,0,0,0,0,0.431,4.55604,0.97848,0.00010323,0.00010323,0.00010323
2,202.494,0.66076,3.9238,1.16156,0.03843,0.80426,0.16111,0.14617,0.44286,4.1486,0.98016,0.000205636,0.000205636,0.000205636
3,306.546,0.6778,3.50649,1.18116,0.48757,0.20316,0.30072,0.26767,0.5053,3.8096,1.01281,0.000303823,0.000303823,0.000303823
4,398.906,0.68847,3.19133,1.16511,0.37337,0.47464,0.38049,0.33414,0.54481,3.38478,1.07091,0.00031322,0.00031322,0.00031322
5,504.205,0.70451,2.94009,1.1731,0.27448,0.55481,0.4249,0.38707,0.46861,3.16013,0.98382,0.000306626,0.000306626,0.000306626
6,605.822,0.69569,2.76485,1.16741,0.37488,0.58444,0.51685,0.46264,0.50506,2.86677,1.00371,0.000300033,0.000300033,0.000300033
7,701.079,0.69211,2.66456,1.17619,0.76461,0.45155,0.61204,0.5511,0.49805,2.68491,1.00708,0.00029344,0.00029344,0.00029344
8,803,0.63806,2.44501,1.11462,0.4745,0.65566,0.6603,0.58291,0.51243,2.63953,1.03013,0.000286846,0.000286846,0.000286846
9,908.291,0.68597,2.39558,1.16375,0.67229,0.5894,0.66455,0.61239,0.4816,2.40336,1.00027,0.000280253,0.000280253,0.000280253
10,1007.56,0.64715,2.1788,1.11069,0.56821,0.65121,0.69947,0.63086,0.49261,2.37053,0.98889,0.000273659,0.000273659,0.000273659
11,1104.3,0.59376,2.10706,1.08572,0.59768,0.75226,0.75475,0.67741,0.48661,2.42478,0.99259,0.000267066,0.000267066,0.000267066
12,1209.57,0.60236,1.97799,1.08141,0.70059,0.7265,0.79853,0.72082,0.46622,2.1124,0.97147,0.000260473,0.000260473,0.000260473
13,1305.33,0.58974,1.91198,1.07917,0.67127,0.6876,0.77149,0.70409,0.44254,2.22943,0.95572,0.000253879,0.000253879,0.000253879
14,1414.75,0.62351,1.84102,1.09499,0.72306,0.72721,0.81915,0.74632,0.44676,1.93063,0.96969,0.000247286,0.000247286,0.000247286
15,1524.92,0.59105,1.76903,1.07378,0.7092,0.75686,0.84535,0.76889,0.462,1.88922,0.96865,0.000240692,0.000240692,0.000240692
16,1636.21,0.59336,1.72322,1.07727,0.69889,0.80926,0.8583,0.77144,0.46098,1.80066,0.97934,0.000234099,0.000234099,0.000234099
17,1745.52,0.55112,1.61477,1.04701,0.7168,0.76601,0.85635,0.79739,0.42973,1.98426,0.95212,0.000227506,0.000227506,0.000227506
18,1854.31,0.55292,1.59334,1.05677,0.8206,0.80786,0.89483,0.82532,0.43293,1.65541,0.94726,0.000220912,0.000220912,0.000220912
19,1963.97,0.5282,1.53708,1.02996,0.80363,0.85046,0.91172,0.85258,0.4173,1.62237,0.93052,0.000214319,0.000214319,0.000214319
20,2074.72,0.54354,1.55306,1.04619,0.84349,0.781,0.88015,0.81973,0.4121,1.58262,0.92583,0.000207725,0.000207725,0.000207725
21,2186.33,0.53976,1.46586,1.03247,0.81963,0.8368,0.90968,0.84933,0.41534,1.52786,0.94441,0.000201132,0.000201132,0.000201132
22,2294.77,0.52367,1.38148,1.01758,0.79326,0.85897,0.90724,0.85157,0.40925,1.56874,0.93426,0.000194539,0.000194539,0.000194539
23,2403.79,0.55587,1.37867,1.04844,0.85856,0.83188,0.91626,0.84658,0.41434,1.45419,0.92653,0.000187945,0.000187945,0.000187945
24,2512.4,0.50839,1.37091,1.00527,0.8596,0.85924,0.92766,0.86206,0.39589,1.4208,0.91021,0.000181352,0.000181352,0.000181352
25,2620.76,0.50676,1.35755,1.02361,0.85438,0.87556,0.92963,0.87108,0.37877,1.3637,0.8885,0.000174758,0.000174758,0.000174758
26,2729.37,0.4888,1.28497,1.00906,0.90444,0.86831,0.93825,0.87311,0.39426,1.27802,0.91236,0.000168165,0.000168165,0.000168165
27,2838.73,0.48833,1.22967,0.99692,0.8694,0.83073,0.93097,0.86802,0.40182,1.41829,0.91335,0.000161572,0.000161572,0.000161572
28,2947.77,0.47428,1.19784,1.0014,0.82378,0.868,0.93032,0.86621,0.39108,1.29929,0.91575,0.000154978,0.000154978,0.000154978
29,3056.6,0.49404,1.23169,1.01259,0.87303,0.84142,0.92157,0.85806,0.39679,1.33321,0.91409,0.000148385,0.000148385,0.000148385
